participant number,block,trial,item nr,value on left,probability on left,value on right,probability on right,chosen,RT,confidence,confidence RT
201,1,1,1,4,10,1,75,2,1398,25,1791
201,1,2,2,4,75,3,60,1,1745,86.25,1493
201,1,3,3,1,40,6,25,2,1439,32.5,879
201,1,4,4,7,40,1,75,1,1372,66.25,1331
201,1,5,5,9,25,4,75,1,1510,21.25,1560
201,1,6,6,7,40,3,90,2,1740,92.5,981
201,1,7,7,9,60,6,90,1,2214,22.5,1459
201,1,8,8,4,10,3,90,2,1447,68.75,902
201,1,9,9,1,40,4,10,2,2164,3.75,1494
201,1,10,10,6,25,4,10,1,1494,28.75,1260
201,1,11,11,1,75,7,40,2,2619,73.75,1393
201,1,12,12,9,60,7,10,1,1330,22.5,1574
201,1,13,13,1,40,9,25,2,1182,38.75,1154
201,1,14,14,6,25,3,60,1,1992,66.25,1246
201,1,15,15,9,25,6,90,2,2013,75,1008
201,1,16,16,3,90,6,25,2,1292,33.75,844
201,1,17,17,4,10,3,60,2,1719,21.25,1837
201,1,18,18,6,90,1,75,1,1304,73.75,1318
201,1,19,19,4,10,9,25,2,2493,66.25,1297
201,1,20,20,9,25,7,10,1,1010,31.25,991
201,1,21,21,1,75,9,60,2,956,75,1598
201,1,22,22,3,90,9,60,2,2238,33.75,999
201,1,23,23,3,90,9,25,1,1219,71.25,1920
201,1,24,24,7,40,9,60,2,2012,86.25,1343
201,1,25,25,9,60,6,25,1,1372,88.75,1916
201,1,26,26,7,10,4,75,2,2318,33.75,675
201,1,27,27,3,60,9,25,1,1742,22.5,1932
201,2,1,28,7,40,6,25,1,1228,71.25,902
201,2,2,29,6,90,7,10,1,1694,33.75,1110
201,2,3,30,4,10,9,60,2,901,50,516
201,2,4,31,1,40,3,60,2,1375,83.75,1111
201,2,5,32,9,60,1,40,1,845,37.5,1023
201,2,6,33,6,90,4,10,1,1788,21.25,1952
201,2,7,34,3,60,1,40,1,2115,63.75,1909
201,2,8,35,6,90,7,40,1,1958,92.5,1063
201,2,9,36,7,40,9,25,2,1413,66.25,1225
201,2,10,37,3,90,4,75,1,1714,35,1874
201,2,11,38,1,75,6,90,2,1801,62.5,735
201,2,12,39,9,25,1,40,2,1125,33.75,1146
201,2,13,40,9,25,7,40,1,986,81.25,1349
201,2,14,41,6,25,1,40,2,2117,36.25,1389
201,2,15,42,3,60,6,90,2,967,68.75,3376
201,2,16,43,1,40,3,90,2,1811,30,892
201,2,17,44,9,60,1,75,1,991,100,1796
201,2,18,45,7,40,6,90,2,1791,65,861
201,2,19,46,4,10,1,40,1,2823,35,718
201,2,20,47,3,90,1,75,1,1093,66.25,725
201,2,21,48,6,25,1,75,1,1743,15,1478
201,2,22,49,7,10,1,75,1,861,76.25,1124
201,2,23,50,6,25,7,10,2,6335,76.25,1835
201,2,24,51,9,60,7,40,1,1640,80,1347
201,2,25,52,4,75,6,25,2,3512,88.75,1181
201,2,26,53,7,40,4,75,1,1534,30,2223
201,2,27,54,7,40,3,60,1,2124,63.75,1130
201,3,1,55,1,75,3,90,2,1148,38.75,1236
201,3,2,56,3,60,1,75,1,1015,62.5,870
201,3,3,57,9,25,3,90,2,2182,50,521
201,3,4,58,7,40,4,10,1,875,66.25,860
201,3,5,59,1,40,7,10,2,807,67.5,1430
201,3,6,60,1,75,4,10,2,2030,35,875
201,3,7,61,6,25,3,90,1,801,66.25,999
201,3,8,62,4,10,7,40,2,284,88.75,1066
201,3,9,63,6,90,3,60,1,946,33.75,1892
201,3,10,64,4,75,7,40,2,863,61.25,1205
201,3,11,65,4,75,3,90,1,1734,76.25,785
201,3,12,66,9,25,4,10,1,689,100,1278
201,3,13,67,3,90,7,10,2,1094,35,674
201,3,14,68,7,10,9,60,2,809,70,841
201,3,15,69,4,75,6,90,2,266,66.25,1100
201,3,16,70,7,10,1,40,1,358,31.25,874
201,3,17,71,1,40,4,75,2,713,77.5,1539
201,3,18,72,7,10,6,90,1,801,30,1034
201,3,19,73,1,75,6,25,2,897,75,1321
201,3,20,74,9,60,4,75,1,905,30,1062
201,3,21,75,9,25,3,60,1,1181,71.25,1188
201,3,22,76,3,90,4,10,2,2185,78.75,1406
201,3,23,77,1,75,3,60,1,413,26.25,1237
201,3,24,78,1,75,9,25,2,429,68.75,1087
201,3,25,79,1,75,7,10,2,900,86.25,1101
201,3,26,80,6,90,4,75,1,839,30,2534
201,3,27,81,6,25,4,75,1,1268,70,967
201,4,1,82,1,40,6,90,2,1164,70,1454
201,4,2,83,9,25,1,75,1,813,66.25,1138
201,4,3,84,6,25,7,40,1,922,82.5,1448
201,4,4,85,1,40,9,60,2,650,31.25,1485
201,4,5,86,6,25,9,60,2,726,88.75,1592
201,4,6,87,7,10,3,60,1,835,32.5,1082
201,4,7,88,3,60,6,25,2,954,31.25,2319
201,4,8,89,6,90,1,40,1,859,85,858
201,4,9,90,4,75,1,40,1,1217,82.5,1788
201,4,10,91,3,90,7,40,2,1760,86.25,1479
201,4,11,92,6,90,9,60,2,2900,91.25,1357
201,4,12,93,4,75,7,10,1,1318,68.75,683
201,4,13,94,4,75,9,25,2,688,20,963
201,4,14,95,7,10,3,90,2,864,65,3145
201,4,15,96,7,10,6,25,2,1772,23.75,1215
201,4,16,97,7,10,9,25,2,1060,82.5,1927
201,4,17,98,3,60,7,40,2,1859,90,1565
201,4,18,99,3,60,4,10,1,2136,35,1253
201,4,19,100,4,75,9,60,2,622,87.5,1211
201,4,20,101,6,90,9,25,1,1191,68.75,1096
201,4,21,102,9,60,3,90,1,860,98.75,1377
201,4,22,103,4,10,6,90,2,1620,30,933
201,4,23,104,3,60,7,10,2,1103,85,983
201,4,24,105,3,60,4,75,1,420,32.5,830
201,4,25,106,3,90,1,40,2,302,0,1550
201,4,26,107,4,10,6,25,2,1367,76.25,1170
201,4,27,108,9,60,4,10,1,635,20,1836
202,1,1,1,6,90,1,75,1,1990,67.5,3106
202,1,2,2,3,60,9,25,1,3808,63.75,2305
202,1,3,3,7,40,1,75,1,2202,57.5,1237
202,1,4,4,6,90,4,10,1,1262,92.5,2594
202,1,5,5,6,90,7,10,1,2456,83.75,2772
202,1,6,6,4,10,9,60,2,2318,85,2239
202,1,7,7,4,10,1,75,1,2515,68.75,1693
202,1,8,8,6,25,4,75,2,2470,71.25,1503
202,1,9,9,9,60,7,10,1,1972,81.25,2201
202,1,10,10,3,90,6,25,1,2648,55,2244
202,1,11,11,1,40,7,10,2,2063,55,3199
202,1,12,12,1,40,4,75,2,1259,73.75,1544
202,1,13,13,6,25,3,60,2,7731,50,0
202,1,14,14,1,40,6,25,2,2450,50,0
202,1,15,15,3,90,7,40,1,1466,47.5,1918
202,1,16,16,4,10,3,90,2,1125,70,1496
202,1,17,17,7,40,9,25,1,3483,75,2129
202,1,18,18,9,25,7,40,2,1426,70,1461
202,1,19,19,1,40,3,90,2,1415,70,1524
202,1,20,20,7,40,4,75,1,2855,56.25,1102
202,1,21,21,3,60,4,75,2,1237,72.5,1533
202,1,22,22,6,25,1,40,1,1334,50,384
202,1,23,23,4,75,1,40,1,1715,72.5,1857
202,1,24,24,3,60,6,25,1,1714,70,1726
202,1,25,25,3,90,1,75,1,1486,68.75,1100
202,1,26,26,6,25,9,60,2,1191,77.5,2148
202,1,27,27,6,90,9,25,1,1999,68.75,1573
202,2,1,28,4,10,1,40,2,2084,57.5,1496
202,2,2,29,6,25,3,90,2,2018,63.75,1306
202,2,3,30,6,90,1,40,1,930,86.25,1941
202,2,4,31,7,10,6,25,2,2645,71.25,1513
202,2,5,32,1,75,9,60,2,2611,50,0
202,2,6,33,9,60,4,10,1,1195,83.75,1817
202,2,7,34,9,25,4,75,2,2049,75,1507
202,2,8,35,4,75,9,25,1,1968,50,0
202,2,9,36,3,90,9,25,1,1345,57.5,2233
202,2,10,37,3,90,4,75,1,1953,82.5,1971
202,2,11,38,1,75,3,60,2,1408,63.75,1245
202,2,12,39,3,90,1,40,1,1550,55,2289
202,2,13,40,4,75,3,60,1,1497,82.5,2092
202,2,14,41,3,90,4,10,1,1367,86.25,1587
202,2,15,42,4,75,9,60,1,2064,73.75,1893
202,2,16,43,3,90,9,60,2,901,67.5,1200
202,2,17,44,1,40,9,60,2,915,87.5,1989
202,2,18,45,6,90,4,75,1,1566,83.75,2340
202,2,19,46,9,60,1,40,1,1127,83.75,1544
202,2,20,47,9,60,1,75,1,1667,86.25,1120
202,2,21,48,9,25,4,10,1,1859,81.25,1078
202,2,22,49,7,10,1,40,2,1396,40,2659
202,2,23,50,4,10,6,90,2,1078,73.75,1190
202,2,24,51,7,10,4,75,2,1644,47.5,1544
202,2,25,52,3,60,4,10,1,1979,73.75,958
202,2,26,53,3,60,6,90,2,1270,83.75,1016
202,2,27,54,6,25,7,10,1,1987,58.75,1017
202,3,1,55,9,60,4,75,1,1747,61.25,1251
